relatório relatório NCMS000 1 07217924-n:0.000285164/06681551-n:0.000268198/07218470-n:0.000257335/07220466-n:0.000235525/06409752-n:0.00022472
anual anual AQ0CS00 1 00678024-a:0.000395539/01969150-a:0.000347727/01442079-a:0.000337819
, , Fc 1 -
o o DA0MS0 0.950254 -
balanço balanço NCMS000 0.97619 13408980-n:0.000238805/03118539-n:0.000232816/05747815-n:0.000229426/13403964-n:0.000228647/04371774-n:0.000218664
e e CC 0.999951 -
as o DA0FP0 0.974798 -
contas conta NCFP000 0.987805 06516955-n:0.000215513/09179382-n:0.000211706/13354985-n:0.000180817/00634586-n:0.000145591/13591761-n:0.000135005/02815071-n:0.000130576/14491034-n:0.000124886/06517942-n:0.00012245/02815237-n:0.000120544
de de SP 1 -
os o DA0MP0 0.958022 - o PD0MP00 0.021587 - o PP3MPA0 0.0203911 -
Conselhos_Seccionais conselhos_seccionais NP00O00 1 -
; ; Fx 1 -
elaborar elaborar VMN0000 0.529581 01621555-v:0.000478597/00400883-v:0.000164185/00955601-v:0.000161263/00251463-v:0.000152365/01006421-v:0.000149986/01653013-v:0.000141761/01738597-v:0.000141686/01625343-v:0.000140817
as o DA0FP0 0.974798 -
listas lista NCFP000 1 06481320-n:0.000650826/06495000-n:0.000398191/01011166-n:0.000376259
constitucionalmente constitucional RG 1 -
previstas prever VMP00PF 0.992518 00631737-v:0.000626851/00719734-v:0.000244701/00917772-v:0.000242452/00712135-v:0.00023057/00871942-v:0.000215701/00720063-v:0.000210808/00720808-v:0.000205973/00723545-v:0.000193859/00794981-v:0.000188436/02565491-v:0.000182063/00929815-a:0.00017928/00974173-v:0.000178821/00926472-v:0.00017191/01636221-v:0.000163414
, , Fc 1 -
para para SP 0.999444 -
o o DA0MS0 0.950254 -
preenchimento preenchimento NCMS000 1 -
de de SP 1 -
os o DA0MP0 0.958022 - o PD0MP00 0.021587 - o PP3MPA0 0.0203911 -
cargos cargo NCMP000 1 00586262-n:0.000654943/05074774-n:0.000369406/13945102-n:0.000348345/07190941-n:0.000197825/06561942-n:0.000187825/00586105-n:0.000175082
em em SP 1 -
os o DA0MP0 1 -
tribunais tribunal NCMP000 1 08329453-n:0.000426889/03649459-n:0.000303212/08329322-n:0.000289146/03121040-n:0.000267123
judiciários judiciário AQ0MP00 1 02752987-a:0.00059971/01400961-a:0.000392385/02753205-a:0.000339499
de de SP 1 -
âmbito âmbito NCMS000 1 05996646-n:0.000582008/05125377-n:0.000418818/14514039-n:0.000239578/05127782-n:0.000206327/14513259-n:0.000194107/05853100-n:0.000190284
