erro erro NCMS000 0.97619 00070965-n:0.000791803/04802629-n:0.000682834/05893653-n:0.000624574/05895465-n:0.000595265/00066636-n:0.000560097/14464203-n:0.000554154/06769392-n:0.000540508/00074790-n:0.000536467/00073828-n:0.000534358/05895723-n:0.000511666/04853765-n:0.000505805/00074524-n:0.00048889/14462946-n:0.000475223/14464675-n:0.000474326/00072068-n:0.000470715/04802776-n:0.00046797
de de SP 1 -
julgamento julgamento NCMS000 1 01195867-n:0.00136053/01187810-n:0.000844179/05837957-n:0.000820622/06765044-n:0.000811805/05789432-n:0.000779815/00874067-n:0.000774584/05614175-n:0.000748732/04892084-n:0.000746599/01191158-n:0.000743193/04890112-n:0.000735758
ou ou CC 1 -
por por SP 1 -
condenação condenação NCFS000 1 01160342-n:0.00161327/01189282-n:0.00111074/07334206-n:0.00104897/14458593-n:0.00104446/07233634-n:0.00102412/15224692-n:0.00102258/01223257-n:0.000979893
baseada basear VMP00SF 0.992518 00636888-v:0.00359646/01406356-v:0.00347206
em em SP 1 -
falsa falso AQ0FS00 0.464 01116380-a:0.00096016/02461723-a:0.000765762/00633235-a:0.000590708/01782100-a:0.000564765/01116857-a:0.000535095/01223941-a:0.000517446/02182562-a:0.00051154/02462489-a:0.000500459/01117226-a:0.000499438/01117477-a:0.000494929/01942507-a:0.000494786/00584403-a:0.000480498/02182088-a:0.000478046/01935935-a:0.000469305/01573238-a:0.000463129
prova prova NCFS000 0.989071 05798043-n:0.000618843/05823932-n:0.000616928/06733939-n:0.000543157/00791078-n:0.000538322/06643408-n:0.000525345/00521562-n:0.000521702/05799212-n:0.000513098/05824739-n:0.000504614/07199191-n:0.00049734/00785959-n:0.000490937/00636461-n:0.000478271/00794367-n:0.000473454/06647614-n:0.000469389/05738625-n:0.000464299/04011130-n:0.000449719/04755466-n:0.000447018
. . Fp 1 -

