bla bla NCMS000 1 -
sanções sanção NCFP000 1 01124246-n:0/01139000-n:0/01160342-n:0/05164845-n:0/05176607-n:0/06687358-n:0/06689297-n:0
civis civil AQ0CP00 0.578363 00412355-a:0/00642379-a:0/00642934-a:0/01517921-a:0/01518161-a:0/02696920-a:0/02697116-a:0
, , Fc 1 -
penais penal AQ0CP00 0.960748 01322323-a:0/01402763-a:0/01404370-a:0/01902866-a:0/02779420-a:0
e e CC 0.999951 -
administrativas administrativo AQ0FP00 1 02556229-a:0/02904075-a:0/02904223-a:0
. . Fp 1 -

São ser VMIP3P0 0.997832 00339934-v:0/01717851-v:0/02445925-v:0/02597601-v:0/02603699-v:0/02604760-v:0/02614181-v:0/02616386-v:0/02620587-v:0/02627363-v:0/02655135-v:0/02664769-v:0/02702508-v:0/02731024-v:0/02749904-v:0
também também RG 0.998533 00047534-r:0/00068753-r:0
nulos nulo AQ0MP00 1 01866812-a:0/02499750-a:0/02500590-a:0
os o DA0MP0 0.958022 -
atos ato NCMP000 1 00030358-n:0/00037396-n:0/00550341-n:0/06532095-n:0/06545137-n:0/07009640-n:0/07447261-n:0
praticados praticar VMP00PM 0.992518 00606093-v:0/00833702-v:0/01723224-v:0/02561332-v:0/02568672-v:0
por por SP 1 -
advogado advogado NCMS000 0.975904 09774783-n:0/09775663-n:0/09840963-n:0/10249950-n:0/10623175-n:0
impedido impedir VMP00SM 0.560418 00236289-v:0/00520357-v:0/01147060-v:0/02450505-v:0/02451370-v:0/02452885-v:0/02557199-v:0/02629390-v:0
- - Fg 1 -
em em SP 1 -
o o DA0MS0 1 -
âmbito âmbito NCMS000 1 05125377-n:0/05127782-n:0/05853100-n:0/05996646-n:0/14513259-n:0/14514039-n:0
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
impedimento impedimento NCMS000 1 01073995-n:0/05107495-n:0/05689249-n:0/06542047-n:0
- - Fg 1 -
suspenso suspenso AQ0MS00 1 02351370-a:0
, , Fc 1 -
licenciado licenciar VMP00SM 0.621918 02264179-v:0/02402825-v:0/02444662-v:0
ou ou CC 1 -
que que CS 0.398036 -
passar passar VMN0000 0.332597 00189669-v:0/00339934-v:0/00341285-v:0/00421691-v:0/00668099-v:0/01101571-v:0/01212230-v:0/01313249-v:0/01458464-v:0/01611746-v:0/01716882-v:0/01887020-v:0/01972131-v:0/02049696-v:0/02050132-v:0/02051694-v:0/02052476-v:0/02055649-v:0/02072849-v:0/02221635-v:0/02230772-v:0/02231328-v:0/02231473-v:0/02392385-v:0/02466670-v:0/02523351-v:0/02523953-v:0/02525044-v:0/02593912-v:0/02609764-v:0/02685951-v:0/02708420-v:0/02709277-v:0/02749904-v:0
a a SP 0.313151 -
exercer exercer VMN0000 0.529581 00099721-v:0/00606093-v:0/01095218-v:0/01166093-v:0/01774426-v:0/02204564-v:0/02568672-v:0/02595383-v:0/02670890-v:0
atividade atividade NCFS000 1 00037396-n:0/00407535-n:0/04635104-n:0/14006945-n:0/14531203-n:0
incompatível incompatível AQ0CS00 1 00508192-a:0/00509206-a:0/00509896-a:0/00561036-a:0/00562909-a:0/00578523-a:0/00623565-a:0/01487352-a:0/02382572-a:0
com com SP 1 -
a o DA0FS0 0.675415 -
advocacia advocacia NCFS000 1 00589217-n:0/00611143-n:0
. . Fp 1 -

--- --- Fz 1 -
O o NP00000 1 05198036-n:0/06832680-n:0
advogado advogado NCMS000 0.975904 09774783-n:0/09775663-n:0/09840963-n:0/10249950-n:0/10623175-n:0
postula postular VMIP3S0 0.999479 00716758-v:0/00756898-v:0
, , Fc 1 -
em em SP 1 -
juízo juízo NCMS000 1 00874067-n:0/01187810-n:0/01195867-n:0/04892084-n:0/05614175-n:0/05615500-n:0/05837957-n:0/06551784-n:0
ou ou CC 1 -
fora fora RG 0.488858 00029037-r:0/00110919-r:0
de de SP 1 -
ele ele PP3MS00 1 -
, , Fc 1 -
